trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
157,False,"{'a': 0.001, 'e': 0.9877007947590948}",20,0,-64.57600730381017,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
158,False,"{'a': 0.001, 'e': 0.9875439451225226}",20,0,-93.79247126779504,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
159,False,"{'a': 0.001, 'e': 0.9873861079420876}",20,0,-90.81023565272113,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",1
160,False,"{'a': 0.001, 'e': 0.9872272833756269}",20,0,-194.12395290274713,"{0: 8, 1: 2, 2: 7, 3: 0, 4: 3}",0
161,False,"{'a': 0.001, 'e': 0.9870674715819652}",20,0,-109.1623280419999,"{0: 10, 1: 8, 2: 0, 3: 0, 4: 2}",0
162,False,"{'a': 0.001, 'e': 0.986906672720914}",25,18,-41.932521836530555,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
163,False,"{'a': 0.001, 'e': 0.9867448869532726}",25,13,-101.161945471716,"{0: 5, 1: 0, 2: 5, 3: 1, 4: 1}",1
164,False,"{'a': 0.001, 'e': 0.9865821144408262}",20,12,-61.4262192439527,"{0: 5, 1: 0, 2: 1, 3: 1, 4: 1}",1
165,False,"{'a': 0.001, 'e': 0.9864183553463477}",20,0,-115.81454331830211,"{0: 10, 1: 5, 2: 2, 3: 2, 4: 1}",0
166,False,"{'a': 0.001, 'e': 0.986253609833596}",25,0,-195.29894881071286,"{0: 11, 1: 5, 2: 6, 3: 0, 4: 3}",0
167,False,"{'a': 0.001, 'e': 0.9860878780673167}",25,0,-104.02474972516619,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
168,False,"{'a': 0.001, 'e': 0.9859211602132415}",20,0,-35.41440692152817,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
169,False,"{'a': 0.001, 'e': 0.9857534564380882}",20,0,-172.43384184761553,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
